time,open,close,low,high,volume
1712361600,67820.63000000,68896.00000000,67447.83000000,69692.00000000,20134.28919000
1712448000,68896.00000000,69360.39000000,68824.00000000,70326.29000000,21534.74433000
1712534400,69360.38000000,71620.00000000,69043.24000000,72797.99000000,45723.87624000
1712620800,71620.00000000,69146.00000000,68210.00000000,71758.19000000,39293.90242000
1712707200,69146.00000000,70631.08000000,67518.00000000,71172.08000000,42006.02377000
1712793600,70631.08000000,70006.23000000,69567.21000000,71305.89000000,31917.25595000
1712880000,70006.22000000,67116.52000000,65086.86000000,71227.46000000,56072.86229000
1712966400,67116.52000000,63924.51000000,60660.57000000,67929.00000000,71395.22019000
1713052800,63924.52000000,65661.84000000,62134.00000000,65840.00000000,61599.17818000
1713139200,65661.85000000,63419.99000000,62274.40000000,66867.07000000,52389.53069000
1713225600,63419.99000000,63793.39000000,61600.00000000,64365.00000000,53435.29331000
1713312000,63793.40000000,61277.37000000,59678.16000000,64499.00000000,50610.54509000
1713398400,61277.38000000,63470.08000000,60803.35000000,64117.09000000,43601.60918000
1713484800,63470.09000000,63818.01000000,59600.01000000,65450.00000000,69774.30271000
1713571200,63818.01000000,64940.59000000,63090.07000000,65419.00000000,23137.42975000
1713657600,64940.58000000,64941.15000000,64237.50000000,65695.56000000,19316.42152000
1713744000,64941.15000000,66819.32000000,64500.00000000,67232.35000000,31397.99371000
1713830400,66819.32000000,66414.00000000,65765.81000000,67183.01000000,22599.90004000
1713916800,66414.00000000,64289.59000000,63606.06000000,67070.43000000,33595.69637000
1714003200,64289.58000000,64498.34000000,62794.00000000,65297.94000000,31341.46338000
1714089600,64498.33000000,63770.01000000,63297.48000000,64820.01000000,27085.19346000
1714176000,63770.00000000,63333.99000000,62391.24000000,63923.41000000,20566.00689000
